mscn_sol,GSFC
mscn,1911
location,80
basin,1007
mscn_area,12383.61
lat_center,37
lon_center,-114.77351920000001
lat_span,1
lon_span,1.2543554
Solution,GSFC RL06v02 Mascons
Citation,"Loomis, B.D., Luthcke, S.B. & Sabaka, T.J. (2019) Regularization and error characterization of GRACE mascons. J Geod 93, 1381â€“1398. https://doi.org/10.1007/s00190-019-01252-y"
Data Portal,https://ccar.colorado.edu/grace/

year,cmwe
2002.296,1.514
2002.359,-1.481
2002.627,-3.891
2002.709,-7.19
2002.794,-6.207
2002.876,-4.913
2002.961,-3.462
2003.046,-2.288
2003.125,1.346
2003.207,0.828
2003.29,-0.093
2003.361,-2.878
2003.541,-5.405
2003.626,-6.764
2003.708,-6.83
2003.793,-9.252
2003.875,-6.958
2003.96,-4.814
2004.021,-1.092
2004.13,-1.818
2004.209,-1.352
2004.292,-0.759
2004.376,-3.839
2004.459,-6.172
2004.543,-6.182
2004.628,-9.125
2004.71,-9.403
2004.795,-7.113
2004.877,-2.245
2004.962,-0.962
2005.047,6.105
2005.127,9.376
2005.209,12.037
2005.291,14.618
2005.376,14.428
2005.458,8.605
2005.543,4.905
2005.628,5.914
2005.71,0.852
2005.795,3.223
2005.877,0.043
2005.962,1.594
2006.047,3.964
2006.126,2.343
2006.208,3.674
2006.29,7.185
2006.375,4.587
2006.457,3.286
2006.542,0.978
2006.627,3.333
2006.709,-0.874
2006.794,-0.232
2006.876,-0.392
2006.961,1.422
2007.046,1.946
2007.125,1.499
2007.207,2.202
2007.29,1.003
2007.374,0.764
2007.457,0.461
2007.541,-2.88
2007.626,-2.883
2007.708,-4.734
2007.793,-4.774
2007.875,-4.954
2007.96,-2.596
2008.045,0.04
2008.127,2.85
2008.209,3.623
2008.292,2.204
2008.376,0.281
2008.459,-1.572
2008.543,-2.305
2008.628,-3.182
2008.71,-3.234
2008.795,-4.431
2008.877,-3.957
2008.962,-3.384
2009.047,-0.337
2009.127,0.896
2009.209,1.417
2009.291,-0.506
2009.376,-0.649
2009.458,-0.255
2009.543,-3.304
2009.628,-5.927
2009.71,-6.773
2009.795,-5.679
2009.877,-7.439
2009.962,-4.343
2010.047,-1.814
2010.126,2.345
2010.208,4.182
2010.29,4.771
2010.375,3.927
2010.457,1.77
2010.542,-0.473
2010.627,-2.537
2010.709,-4.754
2010.794,-3.478
2010.876,-1.317
2010.956,2.001
2011.136,4.105
2011.207,6.626
2011.29,7.713
2011.374,6.057
2011.547,2.171
2011.626,2.441
2011.708,-0.783
2011.782,0.106
2011.845,2.239
2011.982,0.163
2012.051,0.537
2012.127,-0.35
2012.201,0.163
2012.267,1.062
2012.459,-1.928
2012.543,-4.358
2012.628,-4.089
2012.705,-5.832
2012.886,-6.643
2012.962,-2.608
2013.047,-0.028
2013.124,-0.679
2013.305,-3.254
2013.376,-4.645
2013.458,-6.535
2013.543,-7.316
2013.795,-7.374
2013.877,-8.64
2013.962,-5.875
2014.025,-6.383
2014.211,-4.632
2014.29,-5.965
2014.375,-7.053
2014.449,-6.743
2014.627,-10.902
2014.709,-10.228
2014.794,-11.408
2014.876,-11.141
2015.062,-8.966
2015.125,-9.339
2015.207,-10.062
2015.279,-9.61
2015.333,-8.81
2015.539,-10.959
2015.626,-10.457
2015.706,-12.176
2015.977,-8.802
2016.045,-7.231
2016.122,-4.779
2016.209,-3.494
2016.385,-8.025
2016.459,-8.368
2016.541,-10.714
2016.642,-10.595
2016.91,-10.13
2016.984,-6.025
2017.058,-1.701
2017.247,-1.466
2017.316,-0.603
2017.37,-3.401
2017.444,-4.574
2018.457,-10.583
2018.523,-12.569
2018.835,-13.372
2018.89,-14.402
2018.961,-12.514
2019.038,-8.368
2019.117,-8.003
2019.207,-0.644
2019.29,-3.562
2019.374,-4.112
2019.457,-4.945
2019.541,-7.315
2019.626,-9.139
2019.708,-9.715
2019.793,-13.578
2019.875,-13.763
2019.96,-7.943
2020.045,-5.457
2020.127,-6.999
2020.209,-6.589
2020.292,-6.497
2020.376,-8.381
2020.459,-8.699
2020.543,-11.16
2020.628,-14.032
2020.71,-16.434
2020.795,-17.325
2020.877,-15.669
2020.962,-16.705
2021.047,-16.488
2021.127,-14.941
2021.209,-13.932
2021.291,-15.569
2021.376,-14.236
2021.458,-15.977
2021.543,-16.81
2021.628,-17.979
2021.71,-18.007
2021.795,-18.194
2021.877,-16.953
2021.962,-16.077
2022.047,-14.015
2022.126,-12.095
2022.208,-16.115
2022.29,-13.514
2022.375,-14.247
2022.457,-17.173
2022.542,-18.634
2022.627,-16.684
2022.709,-17.106
2022.794,-20.404
2022.876,-18.116
2022.961,-17.077
2023.046,-7.919
2023.125,-4.443
2023.207,-0.688
2023.29,2.087
2023.374,-3.088
2023.457,-6.371
2023.541,-10.008
2023.626,-6.831
2023.708,-9.672
